HeadNo,HeadName
1., Administrative Law
1.1, Administrative Law – Interpretation of Law
1.1.1, Administrative Law – Interpretation of Law – Generally
1.1.2, Administrative Law – Interpretation of Law – Rules of Construction
1.1.3, Administrative Law – Interpretation of Law – Effect of Local Government Interpretation
1.1.4, Administrative Law – Interpretation of Law – Procedural Requirements
1.2, Administrative Law – Denials
1.2.1, Administrative Law – Denials – Generally
1.2.2, Administrative Law – Denials – Requirements for
1.2.3, Administrative Law – Denials – Burden to Challenge
1.2.4, Administrative Law – Denials – Evidence to Support
1.3, Administrative Law – Findings Generally
1.3.1, Administrative Law – Findings Generally – What Constitutes
1.3.2, Administrative Law – Findings Generally – Necessary Elements
1.3.3, Administrative Law – Findings Generally – Form of
1.4, Administrative Law – Adequacy of Findings
1.4.1, Administrative Law – Adequacy of Findings – Generally
1.4.2, Administrative Law – Adequacy of Findings – Applicable Standards
1.4.3, Administrative Law – Adequacy of Findings – Facts Relied on
1.4.4, Administrative Law – Adequacy of Findings – Explanation of Rationale
1.4.5, Administrative Law – Adequacy of Findings – Related Findings
1.4.6, Administrative Law – Adequacy of Findings – Issues Addressed
1.4.7, Administrative Law – Adequacy of Findings – Scope
1.4.8, Administrative Law – Adequacy of Findings – Logic and Consistency
1.5, Administrative Law – Requirements for Findings
1.5.1, Administrative Law – Requirements for Findings – Generally
1.5.2, Administrative Law – Requirements for Findings – Statutes
1.5.3, Administrative Law – Requirements for Findings – Statewide Goals
1.5.4, Administrative Law – Requirements for Findings – Administrative Rules
1.5.5, Administrative Law – Requirements for Findings – Local Standards
1.6, Administrative Law – Substantial Evidence
1.6.1, Administrative Law – Substantial Evidence – Generally
1.6.2, Administrative Law – Substantial Evidence – Definition of
1.6.3, Administrative Law – Substantial Evidence – Official Notice
1.6.4, Administrative Law – Substantial Evidence – Expert Testimony
1.6.5, Administrative Law – Substantial Evidence – Conflicting Evidence
1.7, Administrative Law – Substantial Evidence – Evidence Which Clearly Supports
1.8, Administrative Law – Substantial Evidence – Burden of Proof
1.6,Constitutional Law – Substantial Evidence
2.1,Constitutional Law – Oregon Constitution
2.1.1,Constitutional Law – Oregon Constitution – Procedural Issues
2.1.2,Constitutional Law – Oregon Constitution – Nonprocedural Issues
2.2,Constitutional Law – Oregon Constitution – U.S. Constitution
2.2.1,Constitutional Law – Oregon Constitution – Procedural Issues
2.2.2,Constitutional Law – Oregon Constitution – Nonprocedural Issues
2.3,Constitutional Law – Oregon Constitution – Nonspecific Constitutional Claims
3.,EFU Statute/Ordinances
3.1,EFU Statute/Ordinances – Generally
3.2,EFU Statute/Ordinances – Farm Uses
3.2.1,EFU Statute/Ordinances – Farm Uses – Generally
3.2.2,EFU Statute/Ordinances – Farm Uses – Farm Dwellings
3.2.3,EFU Statute/Ordinances – Farm Uses – Other Uses
3.3,EFU Statute/Ordinances – Nonfarm Uses
